Age,Taxa,Continent,Lat,Long
2355,human hair cordage fastened to atlatl,North America,32.93286047010181,-109.88771116259983
7016,Bison bison femur,North America,38.835573064282755,-91.9260940863247
8939,bison humerus,North America,41.85073368237368,-103.70814701755475
8680,bison humerus,North America,41.85073368237368,-103.70814701755475
7552,Bison Purified Bone Coll.,North America,47.577727480829864,-95.37908332715419
7112,Bison Purified Bone Coll.,North America,47.577727480829864,-95.37908332715419
7027,Bison Purified Bone Coll.,North America,47.577727480829864,-95.37908332715419
1469,Mammoth Bone,North America,36.29317219040201,-82.49710388724627
8764,Bison,North America,41.61951424121355,-102.33543178408036
5110,Carbonate Caliche on Bone Homo sapiens,North America,33.03555016777405,-116.73573015643656
380,Bison bone,North America,48.705013611904945,-112.99468952260627
7652,Homo sapiens,North America,38.324485726217944,-110.90384285892064
7455,Homo sapiens,North America,38.324485726217944,-110.90384285892064
7667,Homo sapiens,North America,38.324485726217944,-110.90384285892064
8010,Mammuthus cf. imperator (id. by M. Mehl),North America,35.174471621061805,-98.37528161369715
9540,Mammuthus cf. imperator (id. by M. Mehl),North America,35.174471621061805,-98.37528161369715
10280,Mammuthus cf. imperator (id. by M. Mehl),North America,35.174471621061805,-98.37528161369715
10350,Mammuthus cf. imperator (id. by M. Mehl) gelatin,North America,35.174471621061805,-98.37528161369715
10760,Mammuthus cf. imperator (id. by M. Mehl),North America,35.174471621061805,-98.37528161369715
10810,Mammuthus cf. imperator (id. by M. Mehl) gelatin,North America,35.174471621061805,-98.37528161369715
11010,Mammuthus cf. imperator (id. by M. Mehl) collagen,North America,35.174471621061805,-98.37528161369715
11330,Mammuthus cf. imperator (id. by M. Mehl),North America,35.174471621061805,-98.37528161369715
11280,Mammuthus cf. imperator (id. by M. Mehl),North America,35.174471621061805,-98.37528161369715
10120,Mammuthus cf. imperator (id. by M. Mehl) amino acids,North America,35.174471621061805,-98.37528161369715
10860,Mammuthus cf. imperator (id. by M. Mehl) amino acids,North America,35.174471621061805,-98.37528161369715
4910,Mammuthus cf. imperator (id. by M. Mehl),North America,35.174471621061805,-98.37528161369715
10690,Mammuthus cf. imperator (id. by M. Mehl) collagen,North America,35.174471621061805,-98.37528161369715
9310,Mammuthus cf. imperator (id. by M. Mehl) apatite,North America,35.174471621061805,-98.37528161369715
4810,Mammuthus cf. imperator (id. by M. Mehl),North America,35.174471621061805,-98.37528161369715
8553,Homo sapiens,North America,37.62613636591383,-109.8047757979883
8258,Homo sapiens prickly pear,North America,37.62613636591383,-109.8047757979883
7813,Homo sapiens prickly pear,North America,37.62613636591383,-109.8047757979883
8967,Homo sapiens pine nut hulls,North America,37.62613636591383,-109.8047757979883
8026,Homo sapiens sunflower hulls,North America,37.62613636591383,-109.8047757979883
7711,Homo sapiens,North America,37.62613636591383,-109.8047757979883
8751,Homo sapiens,North America,37.62613636591383,-109.8047757979883
7300,Mammuthus cf. imperator (id. by M. Mehl)apatite,North America,35.174471621061805,-98.37528161369715
5130,Mammuthus cf. imperator (id. by M. Mehl),North America,35.174471621061805,-98.37528161369715
2050,Mammuthus cf. imperator (id. by M. Mehl),North America,35.174471621061805,-98.37528161369715
9360,Mammuthus cf. imperator (id. by M. Mehl),North America,35.174471621061805,-98.37528161369715
10820,Mammuthus cf. imperator (id. by M. Mehl) collagen,North America,35.174471621061805,-98.37528161369715
11480,Mammuthus cf. imperator (id. by M. Mehl) collagen,North America,35.174471621061805,-98.37528161369715
6476,Homo sapiens,North America,38.324485726217944,-110.90384285892064
7837,Homo sapiens prickly pear,North America,37.62613636591383,-109.8047757979883
