rho_inf_over_rho_core,M_rot,P_shock_Pa,P_shock_GPa,sigma_cent_Pa,sigma_cent_MPa,R_eq_m,R_eq_over_R0
31.30612244897959,1.5,4804098159.509203,4.804098159509203,157426075.61929598,157.42607561929597,3.97976467095381e-05,0.0397976467095381
33.326530612244895,1.5,4804098159.509203,4.804098159509203,147882180.0367422,147.8821800367422,3.9773157034515884e-05,0.03977315703451589
35.3469387755102,1.5,4804098159.509203,4.804098159509203,139429330.25404158,139.4293302540416,3.975152141700349e-05,0.03975152141700349
37.367346938775505,1.5,4804098159.509203,4.804098159509203,131890551.61114146,131.89055161114146,3.9732268378168964e-05,0.03973226837816896
39.38775510204081,1.5,4804098159.509203,4.804098159509203,125125181.34715027,125.12518134715026,3.971502487284769e-05,0.03971502487284769
41.408163265306115,1.5,4804098159.509203,4.804098159509203,119020009.85707247,119.02000985707247,3.969949187438022e-05,0.039699491874380224
43.42857142857142,1.5,4804098159.509203,4.804098159509203,113482894.73684213,113.48289473684213,3.9685426883310856e-05,0.03968542688331086
45.44897959183673,1.5,4804098159.509203,4.804098159509203,108438078.13201617,108.43807813201617,3.967263117246744e-05,0.03967263117246744
47.469387755102034,1.5,4804098159.509203,4.804098159509203,103822699.9140155,103.8226999140155,3.9660940336687385e-05,0.039660940336687385
49.48979591836734,1.5,4804098159.509203,4.804098159509203,99584164.94845362,99.58416494845362,3.965021718961373e-05,0.03965021718961373
51.51020408163265,1.5,4804098159.509203,4.804098159509203,95678129.95245643,95.67812995245643,3.9640346354501984e-05,0.03964034635450198
53.53061224489795,1.5,4804098159.509203,4.804098159509203,92066946.24475792,92.06694624475791,3.9631230095713256e-05,0.03963123009571325
55.55102040816326,1.5,4804098159.509203,4.804098159509203,88718442.3218222,88.7184423218222,3.962278507110975e-05,0.03962278507110975
57.57142857142857,1.5,4804098159.509203,4.804098159509203,85604962.77915633,85.60496277915632,3.96149397764236e-05,0.0396149397764236
59.59183673469387,1.5,4804098159.509203,4.804098159509203,82702602.73972604,82.70260273972603,3.960763251548108e-05,0.03960763251548108
61.61224489795918,1.5,4804098159.509203,4.804098159509203,79990592.91156012,79.99059291156011,3.9600809774229625e-05,0.039600809774229626
63.63265306122448,1.5,4804098159.509203,4.804098159509203,77450801.7960231,77.4508017960231,3.959442490785263e-05,0.03959442490785263
65.65306122448979,1.5,4804098159.509203,4.804098159509203,75067329.81038235,75.06732981038235,3.958843707282365e-05,0.03958843707282365
67.67346938775509,1.5,4804098159.509203,4.804098159509203,72826176.11580218,72.82617611580218,3.958281035219333e-05,0.039582810352193326
69.6938775510204,1.5,4804098159.509203,4.804098159509203,70714963.39677891,70.71496339677891,3.957751303451205e-05,0.039577513034512055
71.71428571428571,1.5,4804098159.509203,4.804098159509203,68722709.16334662,68.72270916334662,3.9572517015800974e-05,0.03957251701580097
73.73469387755101,1.5,4804098159.509203,4.804098159509203,66839634.65264324,66.83963465264324,3.956779730075123e-05,0.039567797300751224
75.75510204081633,1.5,4804098159.509203,4.804098159509203,65057004.31034482,65.05700431034482,3.95633315844596e-05,0.0395633315844596
77.77551020408163,1.5,4804098159.509203,4.804098159509203,63366990.29126214,63.36699029126214,3.9559099899927135e-05,0.03955909989992713
79.79591836734693,1.5,4804098159.509203,4.804098159509203,61762557.544757046,61.762557544757044,3.955508431956564e-05,0.03955508431956564
81.81632653061223,1.5,4804098159.509203,4.804098159509203,60237365.92666501,60.23736592666501,3.955126870129841e-05,0.03955126870129841
83.83673469387755,1.5,4804098159.509203,4.804098159509203,58785686.4654333,58.7856864654333,3.954763847167131e-05,0.03954763847167131
85.85714285714285,1.5,4804098159.509203,4.804098159509203,57402329.45091515,57.40232945091515,3.9544180439829365e-05,0.039544180439829366
87.87755102040815,1.5,4804098159.509203,4.804098159509203,56082582.44310266,56.08258244310266,3.954088263735296e-05,0.03954088263735296
89.89795918367346,1.5,4804098159.509203,4.804098159509203,54822156.64018161,54.82215664018161,3.953773417985465e-05,0.03953773417985465
91.91836734693877,1.5,4804098159.509203,4.804098159509203,53617140.31971581,53.617140319715816,3.9534725146963646e-05,0.03953472514696364
93.93877551020407,1.5,4804098159.509203,4.804098159509203,52463958.288073,52.463958288073,3.953184647790963e-05,0.03953184647790963
95.95918367346938,1.5,4804098159.509203,4.804098159509203,51359336.452573374,51.35933645257337,3.952908988039065e-05,0.039529089880390646
97.97959183673468,1.5,4804098159.509203,4.804098159509203,50300270.77692148,50.30027077692148,3.9526447750794063e-05,0.039526447750794065
100.0,1.5,4804098159.509203,4.804098159509203,49284000.0,49.284,3.952391310415439e-05,0.03952391310415439
