entity,medgen_cui,omim_mim,genes,n_genes,inheritance_class,mechanism_class,organ_system_hint,in_scope,exclusion_reason,provenance
"Myasthenic syndrome, congenital, 25, presynaptic",C5193027,618323,VAMP1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myasthenic syndrome, congenital, 7B, presynaptic, autosomal recessive",C5561947,619461,SYT2,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Mycobacterium tuberculosis, susceptibility to",C1834752,607948,CD209;CISH;IFNG;IFNGR1;IRGM;SLC11A1;SP110;TIRAP;TLR2,9,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Myelodysplastic syndrome,C3463824,614286,ASXL1;GATA2;GNB1;SF3B1;TET2,5,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Myelodysplastic syndrome associated with isolated del(5q),C1292779,153550,RPS14,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myelofibrosis, congenital, with anemia, neutropenia, developmental delay, and ocular abnormalities",C5975380,620939,RBSN,1,PENDING_R2,PENDING_R2,hematologic|eye,true,,clinvar:gene_condition_source_id:2026-06-17
Myeloperoxidase deficiency,C0398595,254600,MPO,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
MYH7-related skeletal myopathy,C4552004,160500,MYH7,1,PENDING_R2,PENDING_R2,connective_skeletal,true,,clinvar:gene_condition_source_id:2026-06-17
Myhre syndrome,C0796081,139210,SMAD4,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myocardial infarction, susceptibility to",C1832662,608446,ESR1;F13A1;F7;GCLC;GCLM;LGALS2;LRP8;LTA;MIAT;OLR1;PSMA6;TNFSF4,12,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Myofibrillar myopathy,C2678065,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Myofibrillar myopathy 10,C5436656,619040,SVIL,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Myofibrillar myopathy 11,C5543038,619178,UNC45B,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Myofibrillar myopathy 2,C1837317,,CRYAB,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Myofibrillar myopathy 3,C3714934,609200,MYOT,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Myofibrillar myopathy 4,C4721886,609452,LDB3,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Myofibrillar myopathy 5,C1836050,609524,FLNC,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Myofibrillar myopathy 6,C2751831,612954,BAG3,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Myofibrillar myopathy 7,C4310711,617114,KY,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Myofibrillar myopathy 8,C4310645,617258,PYROXD1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Myofibromatosis,C0206648,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myofibromatosis, infantile, 1",C4551572,228550,PDGFRB,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myofibromatosis, infantile, 2",C3809084,615293,NOTCH3,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myoglobinuria, acute recurrent, autosomal recessive",C1849386,268200,LPIN1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Myopathy due to calsequestrin and SERCA1 protein overload,C4015624,616231,CASQ1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Myopathy with abnormal lipid metabolism,C4310822,255100,FLAD1,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy with myalgia, increased serum creatine kinase, and with or without episodic rhabdomyolysis",CN322496,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy with myalgia, increased serum creatine kinase, and with or without episodic rhabdomyolysis 1",C5774260,620138,MLIP,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy with myalgia, increased serum creatine kinase, and with or without episodic rhabdomyolysis 2",C5975449,620971,DTNA,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy, centronuclear, 2",CN031787,255200,BIN1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy, centronuclear, 5",C4014814,615959,SPEG,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy, centronuclear, 6, with fiber-type disproportion",C4540345,617760,MAP3K20,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy, congenital proximal, with minicore lesions",C5394193,618823,FXR1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy, congenital, progressive, with scoliosis",C5231417,618578,PAX7,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy, congenital, with diaphragmatic defects, respiratory insufficiency, and dysmorphic facies",C5436530,618975,MYOD1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy, congenital, with respiratory insufficiency and bone fractures",C5394189,618822,FXR1,1,PENDING_R2,PENDING_R2,connective_skeletal,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy, congenital, with structured cores and z-line abnormalities",C5231445,618654,ACTN2,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy, congenital, with tremor",C5231401,618524,MYBPC1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy, distal, 5",C5567521,617030,ADSS1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy, distal, 6, adult-onset, autosomal dominant",C5203349,618655,ACTN2,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy, distal, 7, adult-onset, X-linked",C5676880,301075,SMPX,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy, distal, with rimmed vacuoles",C5399975,617158,SQSTM1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy, lactic acidosis, and sideroblastic anemia",C1838103,,,0,PENDING_R2,PENDING_R2,hematologic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy, lactic acidosis, and sideroblastic anemia 1",C4551958,600462,PUS1,1,PENDING_R2,PENDING_R2,hematologic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy, lactic acidosis, and sideroblastic anemia 2",C3150802,613561,YARS2,1,PENDING_R2,PENDING_R2,hematologic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy, myofibrillar, 13, with rimmed vacuoles",C5568137,621078,HSPB8,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy, myofibrillar, 9, with early respiratory failure",C1863599,603689,TTN,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy, myosin storage, autosomal recessive",C1850709,255160,MYH7,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy, proximal, and ophthalmoplegia",C1854106,605637,MYH2,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy, reducing body, X-linked, childhood-onset",C4225159,300718,FHL1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy, reducing body, X-linked, early-onset, severe",C4225423,300717,FHL1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy, sarcoplasmic body",C5830362,620286,MB,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy, tubular aggregate, 1",C4011726,160565,STIM1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopathy, tubular aggregate, 2",C4014557,615883,ORAI1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopia 21, autosomal dominant",C3279997,614167,ZNF644,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopia 22, autosomal dominant",C3809464,615420,PRIMPOL,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopia 23, autosomal recessive",C3809482,615431,LRPAP1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopia 24, autosomal dominant",C4014762,615946,SLC39A5,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopia 25, autosomal dominant",C4310655,617238,P4HA2,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopia 26, X-linked, female-limited",C4538795,301010,ARR3,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Myopia 27,C5394215,618827,CPSF1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopia 28, autosomal recessive",C5676935,619781,LOXL3,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Myopia 6,C1837148,608908,SCO2,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Myopia, high, with cataract and vitreoretinal degeneration",C3280346,614292,P3H2,1,PENDING_R2,PENDING_R2,eye,true,,clinvar:gene_condition_source_id:2026-06-17
Myosclerosis,C1850671,255600,COL6A2,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Myosin storage myopathy,C1842160,608358,MYH7,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Myostatin-related muscle hypertrophy,C2931112,614160,MSTN,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Myotonic dystrophy type 2,C2931689,602668,CNBP,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
MYPN-related myopathy,C4479186,617336,MYPN,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
N-acetylaspartate deficiency,C3279716,614063,ASPNAT,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
NAD(P)HX dehydratase deficiency,C5193026,618321,NAXD,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
Naegeli-Franceschetti-Jadassohn syndrome,C0343111,161000,KRT14,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Nager syndrome,C0265245,154400,SF3B4,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Nail and teeth abnormalities-marginal palmoplantar keratoderma-oral hyperpigmentation syndrome,C4014987,616029,GRHL2,1,PENDING_R2,PENDING_R2,dermatologic,true,,clinvar:gene_condition_source_id:2026-06-17
Nail-patella syndrome,C0027341,161200,LMX1B,1,PENDING_R2,PENDING_R2,dermatologic,true,,clinvar:gene_condition_source_id:2026-06-17
Nail-patella-like renal disease,C0403548,256020,LMX1B,1,PENDING_R2,PENDING_R2,renal|dermatologic,true,,clinvar:gene_condition_source_id:2026-06-17
Namaqualand hip dysplasia,C0432214,604864,COL2A1,1,PENDING_R2,PENDING_R2,connective_skeletal,true,,clinvar:gene_condition_source_id:2026-06-17
Nance-Horan syndrome,C0796085,302350,NHS,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Nanophthalmos 1,C1838502,600165,MYRF,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Nanophthalmos 2,C1836006,609549,MFRP,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Nanophthalmos 4,C4014848,615972,TMEM98,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
NARP syndrome,C1328349,551500,MT-ATP6,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Nasopharyngeal carcinoma,C2931822,607107,TP53,1,PENDING_R2,PENDING_R2,cancer_predisp,true,,clinvar:gene_condition_source_id:2026-06-17
"Nasopharyngeal carcinoma, susceptibility to, 3",C4310729,617075,MST1R,1,PENDING_R2,PENDING_R2,cancer_predisp,true,,clinvar:gene_condition_source_id:2026-06-17
Naxos disease,C1832600,601214,JUP,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
NDE1-related microhydranencephaly,C1857977,605013,NDE1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
NEK9-related lethal skeletal dysplasia,C5568141,617022,NEK9,1,PENDING_R2,PENDING_R2,connective_skeletal,true,,clinvar:gene_condition_source_id:2026-06-17
Nemaline myopathy,C0206157,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Nemaline myopathy 10,C4015360,616165,LMOD3,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Nemaline myopathy 2,C1850569,256030,NEB,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Nemaline myopathy 5,C1854380,605355,TNNT1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Nemaline myopathy 5B, autosomal recessive, childhood-onset",C5830545,620386,TNNT1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Nemaline myopathy 5C, autosomal dominant",C5830549,620389,TNNT1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Nemaline myopathy 6,C1836472,609273,KBTBD13,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Nemaline myopathy 7,C1853154,610687,CFL2,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Nemaline myopathy 8,C3809209,615348,KLHL40,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Nemaline myopathy 9,C3810384,615731,KLHL41,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Neonatal diabetes mellitus,C0158981,,,0,PENDING_R2,PENDING_R2,endocrine_growth,true,,clinvar:gene_condition_source_id:2026-06-17
Neonatal diabetes mellitus with congenital hypothyroidism,C1857775,610199,GLIS3,1,PENDING_R2,PENDING_R2,endocrine_growth,true,,clinvar:gene_condition_source_id:2026-06-17
Neonatal ichthyosis-sclerosing cholangitis syndrome,C1843355,607626,CLDN1,1,PENDING_R2,PENDING_R2,dermatologic,true,,clinvar:gene_condition_source_id:2026-06-17
Neonatal intrahepatic cholestasis due to citrin deficiency,C1853942,605814,SLC25A13,1,PENDING_R2,PENDING_R2,metabolic|hepatic,true,,clinvar:gene_condition_source_id:2026-06-17
Neonatal pseudo-hydrocephalic progeroid syndrome,C0406586,264090,POLR3A,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Neonatal severe primary hyperparathyroidism,C1832615,239200,CASR,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Neoplasm of lung,C0024121,,,0,PENDING_R2,PENDING_R2,pulmonary_exocrine|cancer_predisp,true,,clinvar:gene_condition_source_id:2026-06-17
Neoplasm of stomach,C0038356,,,0,PENDING_R2,PENDING_R2,cancer_predisp,true,,clinvar:gene_condition_source_id:2026-06-17
Neoplasm of the genitourinary tract,C0042065,,,0,PENDING_R2,PENDING_R2,cancer_predisp,true,,clinvar:gene_condition_source_id:2026-06-17
Neoplasm of the large intestine,C0009404,,,0,PENDING_R2,PENDING_R2,gastrointestinal|cancer_predisp,true,,clinvar:gene_condition_source_id:2026-06-17
Nephroblastoma,C0027708,,,0,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
Nephrogenic diabetes insipidus,C0162283,,,0,PENDING_R2,PENDING_R2,renal|endocrine_growth,true,,clinvar:gene_condition_source_id:2026-06-17
Nephrogenic syndrome of inappropriate antidiuresis,C1845202,300539,AVPR2,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
Nephrolithiasis susceptibility caused by SLC26A1,C5779632,167030,SLC26A1,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
"Nephrolithiasis, calcium oxalate",C1833683,,,0,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
"Nephrolithiasis, calcium oxalate, 2, with or without nephrocalcinosis",C5830516,620374,OXGR1,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
"Nephrolithiasis, uric acid, susceptibility to",C2700426,605990,ZNF365,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
"Nephrolithiasis/osteoporosis, hypophosphatemic",CN280257,,,0,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
Nephronophthisis,C0687120,,ADAMTS9;ANKS6;CEP164;CEP290;CEP83;DCDC2;GLIS2;IFT172;INVS;IQCB1;MAPKBP1;NEK8;NPHP1;NPHP3;NPHP4;RPGRIP1L;SDCCAG8;TMEM67;TTC21B;WDR19;XPNPEP3;ZNF423,22,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
Nephronophthisis 1,C1855681,256100,NPHP1,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
Nephronophthisis 11,C3150796,613550,TMEM67,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
Nephronophthisis 12,C3151186,613820,TTC21B,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
Nephronophthisis 13,C3280612,614377,WDR19,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
Nephronophthisis 14,C3539071,614844,ZNF423,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
Nephronophthisis 15,C3541853,614845,CEP164,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
Nephronophthisis 16,C3809320,615382,ANKS6,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
Nephronophthisis 18,C3890591,615862,CEP83,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
Nephronophthisis 19,C4015542,616217,DCDC2,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
Nephronophthisis 20,C4310640,617271,MAPKBP1,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
Nephronophthisis 3,C1858392,604387,NPHP3,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
Nephronophthisis 4,C1847013,606966,NPHP4,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
Nephronophthisis 7,C1969092,611498,GLIS2,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
Nephronophthisis 8,CN119610,,RPGRIP1L,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
Nephronophthisis 9,C3151188,613824,NEK8,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
Nephronophthisis-like nephropathy 1,C3150419,613159,XPNPEP3,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
Nephronophthisis-like nephropathy 2,C5561953,619468,SLC41A1,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
Nephropathic cystinosis,C2931187,219800,CTNS,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
Nephrotic syndrome 14,C4540559,617575,SGPL1,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
Nephrotic syndrome 15,C4539896,617609,MAGI2,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
Nephrotic syndrome 16,C4540453,617783,KANK2,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
"Nephrotic syndrome, IIa 26",C5774221,620049,LAMA5,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
"Nephrotic syndrome, type 10",C4014507,615861,EMP2,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
"Nephrotic syndrome, type 11",C4225228,616730,NUP107,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
"Nephrotic syndrome, type 12",C4225166,616892,NUP93,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
"Nephrotic syndrome, type 13",C4225165,616893,NUP205,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
"Nephrotic syndrome, type 17",C4748545,618176,NUP85,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
"Nephrotic syndrome, type 18",C4748549,618177,NUP133,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
"Nephrotic syndrome, type 19",C4748552,618178,NUP160,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
"Nephrotic syndrome, type 2",C1868672,600995,NPHS2,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
"Nephrotic syndrome, type 20",C5193011,301028,TBC1D8B,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
"Nephrotic syndrome, type 21",C5231498,618594,AVIL,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
"Nephrotic syndrome, type 22",C5436909,619155,NOS1AP,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
"Nephrotic syndrome, type 23",C5543092,619201,KIRREL1,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
"Nephrotic syndrome, type 24",C5543267,619263,DAAM2,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
"Nephrotic syndrome, type 3",C1853124,610725,PLCE1,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
"Nephrotic syndrome, type 4",C3151568,256370,WT1,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
"Nephrotic syndrome, type 6",C3280100,614196,PTPRO,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
"Nephrotic syndrome, type 8",C3808953,615244,ARHGDIA,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
"Nephrotic syndrome, type 9",C3809965,615573,COQ8B,1,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
Nestor-Guillermo progeria syndrome,C3151446,614008,BANF1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Netherton syndrome,C5574950,256500,SPINK5,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Neu-Laxova syndrome 1,C4551478,256520,PHGDH,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Neu-Laxova syndrome 2,C4015019,616038,PSAT1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Neural tube defect,C0027794,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Neural tube defects, folate-sensitive",C1866558,601634,MTHFD1;MTHFR;MTR;MTRR,4,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Neural tube defects, susceptibility to",C3891448,182940,FUZ;TBXT;VANGL1;VANGL2,4,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Neuroblastoma,C0027819,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Neuroblastoma, susceptibility to, 1",C2749485,256700,KIF1B,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Neuroblastoma, susceptibility to, 2",C2751682,613013,PHOX2B,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Neuroblastoma, susceptibility to, 3",C2751681,613014,ALK,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Neurocardiofaciodigital syndrome,C5677020,619869,MAPKAPK5,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Neurocardiorenal malformation syndrome,C6024737,621379,TM2D3,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
