entity,medgen_cui,omim_mim,genes,n_genes,inheritance_class,mechanism_class,organ_system_hint,in_scope,exclusion_reason,provenance
Hereditary fructosuria,C0016751,229600,ALDOB,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary gingival fibromatosis,C0399440,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Hereditary glaucoma, primary closed-angle",C5394374,618880,COL18A1,1,PENDING_R2,PENDING_R2,eye,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary hemochromatosis,C0392514,,,0,PENDING_R2,PENDING_R2,hematologic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary hemorrhagic telangiectasia,C0039445,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary hollow viscus myopathy,C0266833,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary hypercarotenemia and vitamin A deficiency,C2676023,115300,BCO1,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary hyperekplexia,C4084968,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary hyperferritinemia with congenital cataracts,C1833213,600886,FTL,1,PENDING_R2,PENDING_R2,eye,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary hypophosphatemic rickets,CN296404,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary hypotrichosis with recurrent skin vesicles,C2751292,613102,DSC3,1,PENDING_R2,PENDING_R2,dermatologic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary insensitivity to pain with anhidrosis,C0020074,256800,NTRK1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary intrinsic factor deficiency,C2062370,261000,CBLIF,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary leiomyomatosis and renal cell cancer,C1708350,150800,FH,1,PENDING_R2,PENDING_R2,renal|cancer_predisp,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary liability to pressure palsies,C0393814,162500,PMP22,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary lymphedema type I,C1704423,153100,FLT4,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary methemoglobinemia,C0272087,,,0,PENDING_R2,PENDING_R2,hematologic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary mucoepithelial dysplasia,C1274795,158310,SREBF1,1,PENDING_R2,PENDING_R2,connective_skeletal,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary myopathy with lactic acidosis due to ISCU deficiency,C1850718,255125,ISCU,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
"Hereditary Nephrotic Syndromes, Autosomal Dominant",CN043612,,,0,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
"Hereditary Nephrotic Syndromes, Autosomal Recessive",CN043613,,,0,PENDING_R2,PENDING_R2,renal,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary neutrophilia,C0543669,162830,CSF3R,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary orotic aciduria,C0220987,258900,UMPS,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary pancreatitis,C0238339,167800,CFTR;CTRC;PRSS1;PRSS2;SPINK1,5,PENDING_R2,PENDING_R2,gastrointestinal,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary persistence of fetal hemoglobin,C0019025,141749,HBB;HBG1;HBG2,3,PENDING_R2,PENDING_R2,hematologic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary pheochromocytoma and paraganglioma,C4274332,,MAX;SDHA;SDHAF2;SDHB;SDHC;SDHD;TMEM127,7,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary pulmonary alveolar proteinosis,C3711368,,,0,PENDING_R2,PENDING_R2,pulmonary_exocrine,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary sclerosing poikiloderma with tendon and pulmonary involvement,C3810325,615704,FAM111B,1,PENDING_R2,PENDING_R2,pulmonary_exocrine,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary spherocytosis,C0037889,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary spherocytosis type 1,C2674218,182900,ANK1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary spherocytosis type 2,C2674219,616649,SPTB,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary spherocytosis type 3,C2678338,270970,SPTA1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary spherocytosis type 4,C2675212,612653,SLC4A1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary spherocytosis type 5,C2675192,612690,EPB42,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary thrombocytopenia and hematological cancer predisposition syndrome associated with RUNX1,C1832388,601399,RUNX1,1,PENDING_R2,PENDING_R2,hematologic|cancer_predisp,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary thrombophilia due to congenital histidine-rich (poly-L) glycoprotein deficiency,C2751090,613116,HRG,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary von Willebrand disease,C5703318,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary Wilms tumor,C0677779,,,0,PENDING_R2,PENDING_R2,cancer_predisp,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary xanthinuria,C5779508,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary xanthinuria type 1,C0268118,278300,XDH,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Heritable pulmonary arterial hypertension,C0340543,,,0,PENDING_R2,PENDING_R2,pulmonary_exocrine,true,,clinvar:gene_condition_source_id:2026-06-17
Hermansky-Pudlak syndrome,C0079504,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hermansky-Pudlak syndrome 1,C2931875,203300,HPS1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hermansky-Pudlak syndrome 10,C4310746,617050,AP3D1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
